model,condition,seed,unit,signal,turn,cusum,ph
gpt-4o-mini,base,5,A2,H,25,0.707263913051549,0.7072639130515519
gpt-4o-mini,base,5,A2,H,26,1.1766572135858246,1.1766572135858269
gpt-4o-mini,base,5,A2,H,27,1.1371440789344676,1.1371440789344707
gpt-4o-mini,base,5,A2,H,28,1.4863613356808236,1.4863613356808258
gpt-4o-mini,base,5,A2,H,29,2.3366777185664818,2.3366777185664844
gpt-4o-mini,base,5,A2,H,30,3.177956221648389,3.177956221648392
gpt-4o-mini,base,6,A1,H,8,0.0,0.0
gpt-4o-mini,base,6,A1,H,9,0.5160913053775726,0.5160913053775726
gpt-4o-mini,base,6,A1,H,10,0.19894138031525344,0.19894138031525332
gpt-4o-mini,base,6,A1,H,11,0.0,0.0
gpt-4o-mini,base,6,A1,H,12,0.13878460793100555,0.13878460793100533
gpt-4o-mini,base,6,A1,H,13,0.846101570439433,0.8461015704394328
gpt-4o-mini,base,6,A1,H,14,0.2202646283690156,0.22026462836901528
gpt-4o-mini,base,6,A1,H,15,0.0,0.0
gpt-4o-mini,base,6,A1,H,16,0.7352326304464101,0.7352326304464101
gpt-4o-mini,base,6,A1,H,17,0.5401137117993904,0.5401137117993904
gpt-4o-mini,base,6,A1,H,18,1.440222850983934,1.440222850983934
gpt-4o-mini,base,6,A1,H,19,2.052939318774545,2.052939318774545
gpt-4o-mini,base,6,A1,H,20,0.5343162753489206,0.5343162753489206
gpt-4o-mini,base,6,A1,H,21,0.9765199938538753,0.9765199938538753
gpt-4o-mini,base,6,A1,H,22,1.1720156906644559,1.1720156906644559
gpt-4o-mini,base,6,A1,H,23,2.2426957522254227,2.2426957522254227
gpt-4o-mini,base,6,A1,H,24,4.071284607076175,4.071284607076175
gpt-4o-mini,base,6,A1,H,25,3.405210851934269,3.4052108519342696
gpt-4o-mini,base,6,A1,H,26,4.615755417932568,4.615755417932569
gpt-4o-mini,base,6,A1,H,27,6.227077230510778,6.227077230510778
gpt-4o-mini,base,6,A1,H,28,7.029803933699895,7.029803933699895
gpt-4o-mini,base,6,A1,H,29,6.714760445010131,6.714760445010132
gpt-4o-mini,base,6,A1,H,30,6.413290449136591,6.413290449136591
gpt-4o-mini,base,6,A2,H,8,0.0,0.0
gpt-4o-mini,base,6,A2,H,9,0.1920731262145715,0.1920731262145715
gpt-4o-mini,base,6,A2,H,10,0.16666796352738145,0.16666796352738134
gpt-4o-mini,base,6,A2,H,11,0.0,0.0
gpt-4o-mini,base,6,A2,H,12,0.0,0.0
gpt-4o-mini,base,6,A2,H,13,1.6345436336679118,1.6345436336679118
gpt-4o-mini,base,6,A2,H,14,3.249355875179742,3.249355875179742
