model,align,role,rel,metric,n,mean,ci_low,ci_high,frac_read_log
qwen3-235b,tau_placebo_read,author,-2,y_raw,40,0.325866814119138,0.26874407825209723,0.38726706240200065,0.8
qwen3-235b,tau_placebo_read,author,-2,y_adj,40,0.29929019169272203,0.2426346718142712,0.3604502436288554,0.8
qwen3-235b,tau_placebo_read,author,-2,mean_surprisal_bits,40,0.222338400701445,0.15328517866462749,0.30689658054137486,0.8
qwen3-235b,tau_placebo_read,author,-1,y_raw,39,0.31979649680022093,0.25882092443611615,0.38624698392316115,0.8717948717948718
qwen3-235b,tau_placebo_read,author,-1,y_adj,39,0.29288092040265895,0.23168393174302884,0.357526367960704,0.8717948717948718
qwen3-235b,tau_placebo_read,author,-1,mean_surprisal_bits,39,0.1619333240075439,0.11025367429917922,0.2238613005210248,0.8717948717948718
qwen3-235b,tau_placebo_read,author,0,y_raw,40,0.32153092075672696,0.26432959652568205,0.3829765324978353,0.725
qwen3-235b,tau_placebo_read,author,0,y_adj,40,0.31933569395697664,0.26890254335647606,0.3728832780589127,0.725
qwen3-235b,tau_placebo_read,author,0,mean_surprisal_bits,40,0.19858740553887935,0.14555765816919483,0.254513618515375,0.725
qwen3-235b,tau_placebo_read,author,1,y_raw,38,0.315154514305118,0.2301093698406016,0.4051161216485918,0.5526315789473685
qwen3-235b,tau_placebo_read,author,1,y_adj,38,0.3483159701234007,0.2706834778791781,0.4262651191138348,0.5526315789473685
qwen3-235b,tau_placebo_read,author,1,mean_surprisal_bits,38,0.22303222867612266,0.15583030422214483,0.3023679479292227,0.5526315789473685
qwen3-235b,tau_placebo_read,author,2,y_raw,33,0.29872780345679506,0.20482533284787546,0.3953426185229255,0.6363636363636364
qwen3-235b,tau_placebo_read,author,2,y_adj,33,0.3362637715647021,0.25245059620243604,0.41909605954977774,0.6363636363636364
qwen3-235b,tau_placebo_read,author,2,mean_surprisal_bits,33,0.21100053146035855,0.1365336576069999,0.291051313103726,0.6363636363636364
qwen3-235b,tau_placebo_read,author,3,y_raw,26,0.3869057452135021,0.28656704624892404,0.484727305627539,0.6153846153846154
qwen3-235b,tau_placebo_read,author,3,y_adj,26,0.39713804276971576,0.31289227773585654,0.48024199981599064,0.6153846153846154
qwen3-235b,tau_placebo_read,author,3,mean_surprisal_bits,26,0.34026548975731463,0.21304587894085394,0.5013766136648392,0.6153846153846154
qwen3-235b,tau_placebo_read,author,4,y_raw,23,0.2804386695016381,0.1987420250545605,0.3678487733677189,0.5652173913043478
qwen3-235b,tau_placebo_read,author,4,y_adj,23,0.3339206224332986,0.2538905208063389,0.4109236979936627,0.5652173913043478
qwen3-235b,tau_placebo_read,author,4,mean_surprisal_bits,23,0.1709143964538405,0.12362985167332363,0.22065411573003585,0.5652173913043478
qwen3-235b,tau_placebo_read,author,5,y_raw,19,0.2687705736448363,0.17883461698712977,0.36263540161043833,0.631578947368421
qwen3-235b,tau_placebo_read,author,5,y_adj,19,0.2863180103258949,0.2053173143706581,0.36664922651712994,0.631578947368421
qwen3-235b,tau_placebo_read,author,5,mean_surprisal_bits,19,0.1373214634780525,0.08589822955306048,0.19850942549919975,0.631578947368421
qwen3-235b,tau_placebo_read,receiver,-5,y_raw,40,0.1831801111842434,0.13214690963605924,0.24230652463516178,0.9
qwen3-235b,tau_placebo_read,receiver,-5,y_adj,40,0.15847028577266178,0.1065495436795525,0.2171306904933563,0.9
qwen3-235b,tau_placebo_read,receiver,-5,mean_surprisal_bits,40,0.1343874954224827,0.06063818605047564,0.2270321370564223,0.9
qwen3-235b,tau_placebo_read,receiver,-4,y_raw,40,0.34480971525370957,0.2726941753305728,0.4185811120202491,0.4
qwen3-235b,tau_placebo_read,receiver,-4,y_adj,40,0.36025015489594914,0.29752861768931216,0.4244869604071392,0.4
qwen3-235b,tau_placebo_read,receiver,-4,mean_surprisal_bits,40,0.3699534677052877,0.26466863403005625,0.47191137131266536,0.4
qwen3-235b,tau_placebo_read,receiver,-3,y_raw,40,0.2317601961928454,0.175211810779955,0.2942027185796678,0.675
qwen3-235b,tau_placebo_read,receiver,-3,y_adj,40,0.21612318409250503,0.1576356594326498,0.2791976738856362,0.675
qwen3-235b,tau_placebo_read,receiver,-3,mean_surprisal_bits,40,0.19519956745477846,0.11154763615321922,0.30810417725507705,0.675
qwen3-235b,tau_placebo_read,receiver,-2,y_raw,40,0.3415785558986557,0.2785427252300562,0.40632505209761405,0.85
qwen3-235b,tau_placebo_read,receiver,-2,y_adj,40,0.3167432408816248,0.2538146197510203,0.3815600712833095,0.85
qwen3-235b,tau_placebo_read,receiver,-2,mean_surprisal_bits,40,0.22551737772378608,0.15490396168763418,0.3063178373867982,0.85
qwen3-235b,tau_placebo_read,receiver,-1,y_raw,39,0.2835994268941059,0.22951593979137513,0.3428810641621361,0.6923076923076923
qwen3-235b,tau_placebo_read,receiver,-1,y_adj,39,0.2668564984036691,0.2165049944749935,0.32337971178726127,0.6923076923076923
qwen3-235b,tau_placebo_read,receiver,-1,mean_surprisal_bits,39,0.181518708070387,0.1293505578144767,0.23891714424275598,0.6923076923076923
qwen3-235b,tau_placebo_read,receiver,0,y_raw,40,0.30414237329040444,0.24358230288052313,0.368119347863609,1.0
qwen3-235b,tau_placebo_read,receiver,0,y_adj,40,0.2700620571946223,0.2095019867847409,0.33403903176782684,1.0
qwen3-235b,tau_placebo_read,receiver,0,mean_surprisal_bits,40,0.1398703569499068,0.09483704655510945,0.19537587802379028,1.0
qwen3-235b,tau_placebo_read,receiver,1,y_raw,40,0.32967231882038267,0.25173169046217353,0.41167765296018216,0.4
qwen3-235b,tau_placebo_read,receiver,1,y_adj,40,0.3869188983300784,0.3261587006819609,0.4499499280685681,0.4
