model,condition,seed,turn,agent,pos,H_lower_bits,H_lower_re,H_renorm_bits,H_renorm_re,coverage,coverage_re,k
qwen3-235b,base,2,9,A2,50,0.1244022638668042,6.170832267970026e-05,0.1244022638668042,6.173945505937656e-05,1.0,1.0000000215802445,20
qwen3-235b,base,2,11,A1,9,0.0402784040590804,7.685808088849168e-05,0.0402784040590804,7.688355969704822e-05,1.0,1.0000000176615054,20
qwen3-235b,base,2,11,A1,11,0.5070019113195696,1.9222293556649265e-05,0.5070019113195696,1.9322970991061514e-05,1.0,1.000000069785212,20
qwen3-235b,base,2,11,A1,12,0.3010531276579474,1.9222293556649265e-05,0.3010531276579474,1.9322970991061514e-05,1.0,1.000000069785212,20
qwen3-235b,base,2,11,A1,14,0.1309045645279299,0.13007855407351313,0.1309045645279299,0.13007844952264985,1.0,0.9999999203492714,20
qwen3-235b,base,2,11,A1,15,0.1444282203695893,0.13007855407351313,0.1444282203695893,0.13007844952264985,1.0,0.9999999203492714,20
qwen3-235b,base,2,11,A1,25,0.3278500219661542,0.32783488773037,0.3278500219661542,0.32783490560417716,1.0,1.0000000160323312,20
qwen3-235b,base,2,11,A1,28,0.0417013699215664,2.5487447194139126e-05,0.0417013699215664,2.5555617759063253e-05,1.0,1.0000000472530708,20
qwen3-235b,base,2,11,A1,29,0.0153598077045257,2.5487447194139126e-05,0.0153598077045257,2.5555617759063253e-05,1.0,1.0000000472530708,20
qwen3-235b,base,2,19,A2,4,1.6945578633155072,1.682199972313278,1.6945578633155072,1.683820158633553,1.0,0.9934108936290075,20
qwen3-235b,base,2,19,A2,5,1.6924765120705336,1.682199972313278,1.6924765120705336,1.683820158633553,1.0,0.9934108936290075,20
qwen3-235b,base,2,19,A2,9,0.561511822096925,0.27546042647574703,0.561511822096925,0.2753194025597767,1.0,0.9998791867498021,20
qwen3-235b,base,2,19,A2,16,1.2813863664513931,0.9775043244220388,1.2813863664513931,0.977501571267507,1.0,0.9999940816456415,20
qwen3-235b,base,2,19,A2,22,0.0026833680357079,0.002672533250750586,0.0026833680357079,0.002672323218148287,1.0,0.9999998541463165,20
qwen3-235b,base,2,19,A2,24,0.0697198721272668,0.002672533250750586,0.0697198721272668,0.002672323218148287,1.0,0.9999998541463165,20
