model,condition,segment,target,candidate,k,n,rss,aic,bic,loso_mse,range_ok
qwen3-235b,switch,full,y_raw,constant,1,549,29.607939769006453,-1601.1106785091324,-1596.8025800676228,0.05411585194958582,True
qwen3-235b,switch,full,y_raw,linear,2,549,29.312775060826215,-1604.6111813732596,-1595.9949844902405,0.05384183125742996,True
qwen3-235b,switch,full,y_raw,log,2,549,28.68595319116244,-1616.4782900482207,-1607.8620931652017,0.052640041030460286,True
qwen3-235b,switch,full,y_raw,spline,4,549,27.712409465866855,-1631.4337552796742,-1614.2013615136361,0.051097735047503,True
qwen3-235b,switch,full,y_raw,zhu,6,549,27.075995205433934,-1640.188539675754,-1614.339949026697,0.05077954671185053,True
qwen3-235b,switch,full,y_adj,constant,1,549,23.260659023267213,-1733.5728940939775,-1729.264795652468,0.042552810091224996,
qwen3-235b,switch,full,y_adj,linear,2,549,23.176529109390177,-1733.562134834357,-1724.945937951338,0.042786495581332,
qwen3-235b,switch,full,y_adj,log,2,549,22.980851761293977,-1738.2169703405045,-1729.6007734574855,0.0423237505107109,
qwen3-235b,switch,full,y_adj,spline,4,549,22.568853306426576,-1744.1486842783277,-1726.9162905122896,0.04163875560698992,
qwen3-235b,switch,full,y_adj,zhu,6,549,21.88195242358327,-1757.117492841215,-1731.2689021921578,0.040750590188790854,
qwen3-235b,switch,post,y_raw,constant,1,275,13.152069433623527,-834.0527945126937,-830.4360234150272,0.04831388952420322,True
qwen3-235b,switch,post,y_raw,linear,2,275,13.102677702381632,-833.0874829859617,-825.8539407906286,0.04835014518322923,True
qwen3-235b,switch,post,y_raw,log,2,275,13.088969437715205,-833.375343700282,-826.1418015049488,0.048357168255761085,True
qwen3-235b,switch,post,y_raw,spline,4,275,13.071661885279738,-829.7392169994703,-815.272132608804,0.0488776828274577,True
qwen3-235b,switch,post,y_raw,zhu,6,275,12.864288216429237,-830.1368946641289,-808.4362680781295,0.04953444842874067,True
qwen3-235b,switch,post,y_adj,constant,1,275,10.292348574865061,-901.4768422061358,-897.8600711084691,0.03804859802120089,
qwen3-235b,switch,post,y_adj,linear,2,275,10.189206839807822,-902.24657490825,-895.0130327129168,0.03776803061472763,
qwen3-235b,switch,post,y_adj,log,2,275,10.20813204079335,-901.7362699322018,-894.5027277368687,0.03796522481069875,
qwen3-235b,switch,post,y_adj,spline,4,275,10.1390342501003,-899.6040450528617,-885.1369606621954,0.03811633950544811,
qwen3-235b,switch,post,y_adj,zhu,6,275,9.987283576366053,-899.7510754712721,-878.0504488852727,0.03851036873194178,
