spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family,sensitivity,p_bh_family_endpoints
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,prepost,S-P,19,3,0.0013867665051254,-0.0349426321573014,0.0368206081901111,0.0070257339668975,0.0824946304247747,10,1.0,0.952983856201172,0.9664061640349912,0.9872638510285522,primary (s03),0.9955042827560241
main,mean_H_renorm_bits,5,raw,llama-3.3-70b,prepost,P-B,19,3,0.0306281126688222,-0.0113134886130957,0.0720204471468255,0.0304897576780766,0.095134887300033,12,0.359283447265625,0.1956329345703125,0.5868988037109375,0.6402532404119318,primary (s03),0.7162154892743644
main,mean_H_renorm_bits,5,raw,qwen3-235b,level,comm,20,,-0.0099785317057931,-0.0594514719483593,0.0408329212425595,-0.0240076799555328,0.117343109873658,9,0.8238029479980469,0.6742229461669922,0.8826191295276988,0.8865767045454546,primary (s03),0.9395622991746472
main,mean_H_renorm_bits,5,raw,qwen3-235b,level,S-P,20,,-0.0221496604935981,-0.0863265863899242,0.0424463732071491,0.0085340068861042,0.149164412906528,10,1.0,0.6215133666992188,0.8798338692143278,0.8865767045454546,primary (s03),0.9306123198934905
main,mean_H_renorm_bits,5,raw,qwen3-235b,level,P-B,20,,0.02434225757561,-0.0256352547073231,0.0770467709315994,0.0036012712384283,0.1199419579489344,10,1.0,0.6215133666992188,0.8798338692143278,0.8865767045454546,primary (s03),0.9306123198934905
main,mean_H_renorm_bits,5,raw,qwen3-235b,prepost,comm,20,,-0.0297224130621169,-0.0761617637728204,0.0166127047213664,-0.0167049744024537,0.1088482777946783,8,0.5034446716308594,0.2454872131347656,0.6798107440655048,0.7364616394042969,primary (s03),0.8285193443298339
main,mean_H_renorm_bits,5,raw,qwen3-235b,prepost,S-P,20,,-0.0311166058164371,-0.1012462502761985,0.038415603712349,-0.0461602750469068,0.1626726798507599,9,0.8238029479980469,0.409097671508789,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,5,raw,qwen3-235b,prepost,P-B,20,,0.0027883855086403,-0.0657295759592907,0.0719213783934296,-0.0339954177843562,0.1607856939410993,10,1.0,0.8123550415039062,0.8998394305889423,0.934374908902752,primary (s03),0.9802720053901885
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,level,comm,20,,-0.0156642108558029,-0.0701247278499516,0.0399006320162722,-0.0298137227060337,0.1291358027726718,8,0.5034446716308594,0.4980087280273437,0.7893618319896941,0.8337080023261938,primary (s03),0.8661480024167072
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,level,S-P,20,,-0.017328738576239,-0.0849395313244172,0.055083773330859,-0.0333650165091399,0.1659145535504036,6,0.1153182983398437,0.388376235961914,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,level,P-B,20,,0.0033290554408721,-0.0815042186685031,0.0973978173126035,-0.0196906309166929,0.2100515796065122,9,0.8238029479980469,0.7841262817382812,0.8961443219866071,0.9180015005716464,primary (s03),0.9802720053901885
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,prepost,comm,20,,-0.0521878683355961,-0.1150900677008824,0.0146231212757878,-0.0712365193769326,0.1537323401538208,6,0.1153182983398437,0.1429061889648437,0.5531272888183594,0.5879568917410715,primary (s03),0.6638222971270161
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,prepost,S-P,20,,-0.0535096051396998,-0.1345912564765646,0.0377580199199889,-0.0670027335547541,0.201100810337382,6,0.1153182983398437,0.1230926513671875,0.5531272888183594,0.5791709206321023,primary (s03),0.6515672857111151
main,mean_H_renorm_bits,5,adj,gpt-4o-mini,prepost,P-B,20,,0.0026434736082075,-0.0895597141697448,0.0989763603050011,0.0040414523573573,0.2223747640701463,11,0.8238029479980469,0.9854354858398438,0.9854354858398438,1.0,primary (s03),0.9993148588798415
main,mean_H_renorm_bits,5,adj,llama-3.3-70b,level,comm,19,3,0.0091510536091491,-0.0089940553881959,0.0300178079600669,0.0009309178081779,0.0447864747721187,10,1.0,0.76800537109375,0.8961443219866071,0.9180015005716464,primary (s03),0.9802720053901885
