model,condition,seed,pre,post,prepost,level,end_turn,spec,metric,window,adjust
llama-3.3-70b,base,18,0.2015518510561782,0.27247048192327045,0.07091863086709224,0.27247048192327045,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,19,0.1266712732339164,0.1858715245077397,0.05920025127382331,0.1858715245077397,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,20,0.16196265073391317,0.20469042184773265,0.04272777111381948,0.20469042184773265,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,1,0.14430802362594375,0.19357433035214588,0.049266306726202136,0.19357433035214588,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,2,0.1411955738176707,0.1904360514124234,0.049240477594752696,0.1904360514124234,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,4,0.1367421159531596,0.23508634804356154,0.09834423209040194,0.23508634804356154,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,5,0.1854291116467113,0.2589937220040819,0.07356461035737058,0.2589937220040819,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,6,0.1938029041912469,0.18991933919771925,-0.003883564993527655,0.18991933919771925,27,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,7,0.15793058193918186,0.18466416452374085,0.02673358258455899,0.18466416452374085,27,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,8,0.17832764807811205,0.18964101288615295,0.011313364808040904,0.18964101288615295,27,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,9,0.18331790429272907,0.21650482249503278,0.03318691820230371,0.21650482249503278,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,10,0.18465902978034968,0.1711753532943631,-0.013483676485986584,0.1711753532943631,25,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,11,0.16824230050185385,0.27175020310707426,0.10350790260522041,0.27175020310707426,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,12,0.1264264609251034,0.2461930877425807,0.1197666268174773,0.2461930877425807,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,13,0.16475998942794268,0.23433524246072693,0.06957525303278425,0.23433524246072693,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,14,0.15598904677196077,0.2013584171636687,0.045369370391707936,0.2013584171636687,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,15,0.1473310330420091,0.22739812741662488,0.08006709437461579,0.22739812741662488,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,16,0.1471587877186509,0.24208729114040325,0.09492850342175235,0.24208729114040325,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,placebo,17,0.1228640440111005,0.24553474597721917,0.12267070196611866,0.24553474597721917,30,main,mean_H_renorm_bits,10,raw
