model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
llama-3.3-70b,base,15,0.15659873848874123,0.15287835705517386,-0.0037203814335673713,0.1897875275155229,0.14646625690320858,-0.04332127061231433,0.1673321084217575,0.05948806133800794,-0.10784404708374956,-0.10133303854934367
llama-3.3-70b,base,16,0.13859121673673186,0.20503034555093871,0.06643912881420685,0.14917884041104867,0.21117183850386853,0.061992998092819857,0.18363957774361514,0.02186924575703646,-0.16177033198657867,0.1421881950453363
llama-3.3-70b,base,17,0.14561681869226323,0.21049218396419367,0.06487536527193044,0.16479098393116381,0.193176637182587,0.0283856532514232,0.07683355274550044,0.046243618740772735,-0.030589934004727704,0.06289469443760154
llama-3.3-70b,base,18,0.11843753923477086,0.15331350924585854,0.03487597001108768,0.14012425658164995,0.1507169320930102,0.010592675511360256,0.1605215789185701,0.07857715118154829,-0.08194442773702182,0.022147498736153015
llama-3.3-70b,base,19,0.12753285543565465,0.18668042812053523,0.05914757268488058,0.14726353414600735,0.17983882541370969,0.03257529126770234,0.24597814299477636,0.028198781982833748,-0.21777936101194262,0.07568460153316803
llama-3.3-70b,base,20,0.16632261638595242,0.1968201481903275,0.03049753180437509,0.17356003101680345,0.18687607250670518,0.013316041489901731,0.03230912212453977,0.029098374497368486,-0.0032107476271712836,0.03310350700801973
llama-3.3-70b,placebo,1,0.14048632984807857,0.15497946281358116,0.014493132965502586,0.16100215176458102,0.12935545716361563,-0.03164669460096539,0.1736201251388802,0.032280662632979844,-0.14133946250590035,-0.03992316499039461
llama-3.3-70b,placebo,2,0.1717416313488199,0.22173903436127887,0.049997403012458974,0.1894724894625159,0.19518519358523345,0.0057127041227175435,0.1437464067479015,0.08753575788595915,-0.05621064886194237,0.01107418187308512
llama-3.3-70b,placebo,3,0.14970950097350091,0.21292090353157936,0.06321140255807844,0.1792557742381935,0.2066001357611135,0.027344361522919997,0.22629624731084577,0.056019392580038074,-0.1702768547308077,0.06471977819867908
llama-3.3-70b,placebo,4,0.12328368765966392,0.127763856132921,0.004480168473257065,0.15892455927293417,0.1165484736069085,-0.04237608566602567,0.03273371794589001,0.02091177574699711,-0.011821942198892897,-0.06501154802026998
llama-3.3-70b,placebo,5,0.17319545829316726,0.16506929956506933,-0.008126158728097937,0.1933860685887546,0.16378895263098042,-0.029597115957774173,0.21547526734264202,0.09773415165509075,-0.11774111568755127,-0.04469856387160637
llama-3.3-70b,placebo,6,0.10752502991221666,0.18099412649112806,0.0734690965789114,0.13937104839112704,0.1606603098503191,0.02128926145919205,0.034290537749790934,0.07260215320742787,0.038311615457636936,0.06816482658025108
llama-3.3-70b,placebo,7,0.13680223032745198,0.17257483433071377,0.03577260400326179,0.1666023999658689,0.15744788125625342,-0.009154518709615478,0.10302766166909251,0.01791878125330497,-0.08510888041578754,-0.019851833313466904
llama-3.3-70b,placebo,8,0.15614404920260877,0.1783597214999255,0.02221567229731672,0.18865345972412892,0.1569061533472431,-0.03174730637688583,0.18694644117293324,0.03207070366268581,-0.15487573751024744,-0.0630504479955939
llama-3.3-70b,placebo,9,0.13142458262995516,0.21262872718994985,0.0812041445599947,0.1516195954084141,0.1913457458423106,0.03972615043389649,0.1178553447266605,0.14962962666207594,0.03177428193541544,0.10222153312600762
llama-3.3-70b,placebo,10,0.11398807450916462,0.17041840648240084,0.056430331973236214,0.14831513152343068,0.14442215846037965,-0.0038929730630510306,0.030170900688593287,0.09601974115630998,0.06584884046771669,0.02014796728246465
llama-3.3-70b,placebo,11,0.15979865495863935,0.15896888883076285,-0.0008297661278764967,0.1786039555192274,0.1349033825444546,-0.04370057297477278,0.1362361478658625,0.05460846503489499,-0.0816276828309675,-0.07760685143358431
llama-3.3-70b,placebo,12,0.12253787299222008,0.14255163183332806,0.02001375884110798,0.14222990129600396,0.11734093070022614,-0.024888970595777826,0.10239345348771,0.07269296666618542,-0.029700486821524583,-0.021225956797982504
llama-3.3-70b,placebo,13,0.16120310699190568,0.19688318687933262,0.03568007988742694,0.17950174859697393,0.171150959846218,-0.008350788750755928,0.0668339767920663,0.0146579479099899,-0.052176028882076404,-0.010348985604390404
llama-3.3-70b,placebo,14,0.11976800857782308,0.23277467918169747,0.1130066706038744,0.14215279032240072,0.20936089983484835,0.06720810951244763,0.027985065470869947,0.02156456304124694,-0.006420502429623009,0.15282952559617974
llama-3.3-70b,placebo,15,0.18173668221131195,0.17600548976383418,-0.005731192447477773,0.20301954318166035,0.15457152787721137,-0.04844801530444898,0.19688174283562643,0.02883436459676495,-0.16804737823886148,-0.08561784929725297
llama-3.3-70b,placebo,16,0.15921079303753774,0.18750891836488934,0.028298125327351598,0.17698835214745076,0.16797729645827253,-0.009011055689178232,0.12511808027474478,0.05977922925149914,-0.06533885102324563,-0.010914405745057698
llama-3.3-70b,placebo,17,0.1481889227549478,0.16262367981547612,0.014434757060528325,0.1626538738405646,0.1439079778911006,-0.018745895949463992,0.09598057860066565,0.04315663346339626,-0.052823945137269394,-0.032985925175303965
llama-3.3-70b,placebo,18,0.13134603461442712,0.1888723876863751,0.05752635307194798,0.16085182593877756,0.16382777851176858,0.0029759525729910197,0.2067721147231192,0.04475795896012305,-0.16201415576299616,0.009209850365055616
llama-3.3-70b,placebo,19,0.1587263175069761,0.24703265629499765,0.08830633878802155,0.17961095921740902,0.22274544289071743,0.04313448367330841,0.25959722293271587,0.060367072250306755,-0.19923015068240912,0.08836295934678462
llama-3.3-70b,placebo,20,0.12978981572772635,0.18774632417615764,0.05795650844843128,0.14733853951811443,0.16051535047656845,0.013176810958454022,0.02217642441713964,0.020533462779152863,-0.0016429616379867763,0.045867160597250434
llama-3.3-70b,switch,1,0.10617118603581903,0.12873988023947863,0.022568694203659603,0.12518970997464732,0.12479258846583861,-0.0003971215088087038,0.11573916095129957,0.06565890482200465,-0.050080256129294926,0.02841112609163912
llama-3.3-70b,switch,2,0.1615380159572663,0.22968976970363597,0.06815175374636967,0.1794388749303669,0.1903427302707393,0.010903855340372415,0.15350180210943493,0.05603632190044475,-0.09746548020899018,0.029705177326069754
llama-3.3-70b,switch,3,0.16914506422261216,0.20038731065888268,0.03124224643627052,0.1866693381747168,0.19530294707506854,0.008633608900351752,0.09497550365046388,0.001201710369358124,-0.09377379328110576,0.0042918923782037655
llama-3.3-70b,switch,4,0.1251868270872302,0.16831541597860536,0.043128588891375164,0.14411935259519487,0.19249076968358422,0.04837141708838935,0.1309920198040986,0.0005831185010050113,-0.1304089013030936,0.14726334217925446
llama-3.3-70b,switch,5,0.13957130152401748,0.17871698596468866,0.03914568444067118,0.16165786954440858,0.17592511944274136,0.014267249898332779,0.20758005354382364,0.11295786235050458,-0.09462219119331906,0.05263912549664296
llama-3.3-70b,switch,6,0.11425072320893281,0.17239014908176434,0.058139425872831524,0.1306030110202325,0.18104748410020385,0.05044447307997135,0.04457967203027745,0.07042643799175372,0.025846765961476267,0.12499862376464954
llama-3.3-70b,switch,7,0.09405780104143623,0.1730144743406788,0.07895667329924257,0.11446529132572199,0.18069428386162312,0.06622899253590113,0.044749622493097406,0.0009911278575453204,-0.043758494635552085,0.1734327781903033
llama-3.3-70b,switch,8,0.09188436209968671,0.1688988233760894,0.0770144612764027,0.13785958751355246,0.15483765621176565,0.016978068698213195,0.16329004496900043,0.04242031904489465,-0.12086972592410578,0.04034598789763233
llama-3.3-70b,switch,9,0.11590586718866752,0.1767048876002669,0.060799020411599375,0.14019507309850668,0.16810027899158947,0.02790520589308279,0.10671986581824862,0.11878000358134887,0.012060137763100248,0.07507702596971949
llama-3.3-70b,switch,10,0.17127744498980427,0.23178667162872357,0.060509226638919306,0.19273526220138695,0.2094701881750772,0.01673492597369025,0.13190514365617484,0.054595987547126724,-0.07730915610904812,0.05549807015898228
llama-3.3-70b,switch,11,0.13875106636634485,0.19266495471479747,0.05391388834845262,0.15901795777996044,0.1724297804372116,0.01341182265725116,0.07645500158244009,0.02529647669843461,-0.05115852488400548,0.0490593951591593
llama-3.3-70b,switch,12,0.12352867755162623,0.21494454693515355,0.09141586938352732,0.14262475129726668,0.19581045756880452,0.05318570627153785,0.11301339559261407,0.037958341370016566,-0.0750550542225975,0.12511746815147046
llama-3.3-70b,switch,13,0.14703795277798085,0.20865894056254353,0.06162098778456268,0.16278698839060166,0.19067567419686046,0.027888685806258806,0.14869935858464448,0.008634396811891105,-0.14006496177275338,0.05816414940909659
llama-3.3-70b,switch,14,0.14796009132567425,0.20550087971590722,0.057540788390232966,0.1691924610250619,0.19332893716034555,0.024136476135283635,0.08801548857756591,0.008744487107855218,-0.0792710014697107,0.06575441183050462
llama-3.3-70b,switch,15,0.14469760541620105,0.17221682536519167,0.02751921994899062,0.15424524202746487,0.15643841137873535,0.0021931693512704797,0.1813127817427162,0.00025775271297123227,-0.18105502902974496,0.034153406116925744
llama-3.3-70b,switch,16,0.13961609149533977,0.18819704151654235,0.04858095002120258,0.14489699932155012,0.17322633226994308,0.02832933294839296,0.07561749912412662,0.03946623396568321,-0.036151265158443406,0.07386055432779931
llama-3.3-70b,switch,17,0.1481894808185398,0.14582285340802306,-0.0023666274105167417,0.16745568978427788,0.15714398310827296,-0.010311706676004923,0.05611661651042495,0.0002627587766424658,-0.055853857733782486,-0.012282883708626902
llama-3.3-70b,switch,18,0.12720435218340445,0.19999904617690314,0.0727946939934987,0.14157639507007103,0.17725696598817942,0.03568057091810839,0.05535858751063626,4.6237146310664327e-05,-0.0553123503643256,0.06458801851625084
llama-3.3-70b,switch,19,0.1585664541242913,0.14302282172709876,-0.01554363239719253,0.1775775450403423,0.14707886444252993,-0.030498680597812355,0.2391173435490237,0.005471414209688606,-0.2336459293393351,-0.04922105037819163
llama-3.3-70b,switch,20,0.09548300819097157,0.13667935108007911,0.04119634288910755,0.10312080277837235,0.1359454796644018,0.03282467688602944,0.023156843440701718,0.00011036085804665676,-0.02304648258265506,0.08947167131564807
